모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
투싼 2.0디젤 AWD 8AT 17/18인치(22),현대,승용차,다목적형,내연기관,경유,1998,자동8,149,12.90 ,3등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 19인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,1998,자동8,138,13.80 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 18인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,1998,자동8,135,14.10 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 18인치(22),현대,승용차,다목적형,내연기관,경유,1998,자동8,134,14.20 ,2등급,TRUE,,,
투싼 2.0디젤 2WD 8AT 17인치(22),현대,승용차,다목적형,내연기관,경유,1998,자동8,131,14.50 ,2등급,TRUE,,,
CHEVROLET COLORADO AWD,GM,화물차,일반형,내연기관,휘발유,3649,자동8,220,7.90 ,5등급,TRUE,,,
스포티지 2.0디젤 4WD 8AT 17인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,149,12.90 ,3등급,TRUE,,,
G90 e-S/C 3.5T-GDI 2WD 4인 20인치,현대,승용차,일반형,하이브리드,휘발유,3470,자동8,188,9.10 ,5등급,TRUE,,,
G90 e-S/C 3.5T-GDI 2WD 4인 20인치(빌트인캠),현대,승용차,일반형,하이브리드,휘발유,3470,자동8,188,9.10 ,5등급,TRUE,,,
G90 e-S/C 3.5T-GDI 2WD 4인 21인치,현대,승용차,일반형,하이브리드,휘발유,3470,자동8,194,8.80 ,5등급,TRUE,,,
G90 e-S/C 3.5T-GDI AWD 4인 20인치,현대,승용차,일반형,하이브리드,휘발유,3470,자동8,203,8.40 ,5등급,TRUE,,,
G90 e-S/C 3.5T-GDI AWD 4인 21인치,현대,승용차,일반형,하이브리드,휘발유,3470,자동8,206,8.30 ,5등급,TRUE,,,
G90 3.5T-GDI 2WD 5인 19인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,184,9.30 ,5등급,TRUE,,,
G90 3.5T-GDI 2WD 5인 19인치(빌트인캠),현대,승용차,일반형,내연기관,휘발유,3470,자동8,184,9.30 ,5등급,TRUE,,,
G90 3.5T-GDI 2WD 4인 19인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,190,9.00 ,5등급,TRUE,,,
G90 3.5T-GDI 2WD 4인 20인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,192,8.90 ,5등급,TRUE,,,
G90 3.5T-GDI AWD 4인 19인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,202,8.50 ,5등급,TRUE,,,
G90 3.5T-GDI AWD 4인 20인치,현대,승용차,일반형,내연기관,휘발유,3470,자동8,207,8.30 ,5등급,TRUE,,,
Mercedes-Benz EQC400 4MATIC,벤츠,승용차,다목적형,전기(MCT),전기,,없음,0,3.10 ,5등급,TRUE,,,
BMW 320e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,50,3.3 / 11,PHEV,,,,
A3 40 TFSI,아우디,승용차,일반형,하이브리드,휘발유,1984,자동7,131,13.00 ,3등급,TRUE,,,
볼보 XC40 Recharge Twin,볼보,승용차,다목적형,전기(MCT),전기,,없음,0,3.90 ,4등급,TRUE,,,
스포티지 2.0디젤 4WD 8AT 19인치 (빌트인캠),기아,승용차,다목적형,내연기관,경유,1998,자동8,155,12.40 ,3등급,TRUE,,,
스포티지 2.0디젤 4WD 8AT 19인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,154,12.50 ,3등급,TRUE,,,
스포티지 2.0디젤 4WD 8AT 18인치 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,150,12.80 ,3등급,TRUE,,,
스포티지 2.0디젤 4WD 8AT 18인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,149,12.90 ,3등급,TRUE,,,
스포티지 2.0디젤 2WD 8AT 19인치 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,138,13.80 ,2등급,TRUE,,,
스포티지 2.0디젤 2WD 8AT 19인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,136,14.00 ,2등급,TRUE,,,
스포티지 2.0디젤 2WD 8AT 18인치 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,138,13.80 ,2등급,TRUE,,,
스포티지 2.0디젤 2WD 8AT 18인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,137,13.90 ,2등급,TRUE,,,
스포티지 2.0디젤 2WD 8AT 17인치(22),기아,승용차,다목적형,내연기관,경유,1998,자동8,131,14.50 ,2등급,TRUE,,,
니로(SG2) 1.6GDI 하이브리드 18인치,기아,승용차,기타형,하이브리드,휘발유,1580,자동6,82,19.10 ,1등급,TRUE,,,
니로(SG2) 1.6GDI 하이브리드 18인치 빌트인캠,기아,승용차,기타형,하이브리드,휘발유,1580,자동6,84,18.80 ,1등급,TRUE,,,
니로(SG2) 1.6GDI 하이브리드 16인치,기아,승용차,기타형,하이브리드,휘발유,1580,자동6,75,20.80 ,1등급,TRUE,,,
니로(SG2) 1.6GDI 하이브리드 16인치 빌트인캠,기아,승용차,기타형,하이브리드,휘발유,1580,자동6,76,20.50 ,1등급,TRUE,,,
"QM6 2.0 LPLi SULEV30 (19"" Tire)",르노코리아자동차(주),승용차,다목적형,내연기관,LPG,1998,무단변속,153,8.60 ,5등급,TRUE,,,
"QM6 2.0 LPLi SULEV30 (18"" Tire)",르노코리아자동차(주),승용차,다목적형,내연기관,LPG,1998,무단변속,147,8.90 ,5등급,TRUE,,,
짚 글래디에이터,크라이슬러,화물차,화물,내연기관,휘발유,3604,자동8,260,6.50 ,5등급,TRUE,,,
짚 컴패스 2.4 FWD,크라이슬러,승용차,다목적형,내연기관,휘발유,2360,자동6,171,9.70 ,4등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 5인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,125,13.10 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 6인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,125,13.10 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 7인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,125,13.10 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 5인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,122,13.40 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 6인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,122,13.40 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV AWD 7인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,122,13.40 ,3등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 5인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,114,14.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 6인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,114,14.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 7인 19""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,114,14.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 5인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 5인 17""(빌트인캠)(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,,
"싼타페 1.6T-GD HEV 2WD 6인 17""(빌트인캠)(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 6인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 7인 17""타이어(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.30 ,2등급,TRUE,,,
"싼타페 1.6T-GDI HEV 2WD 7인 17""(빌트인캠)(22MY)",현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,,
싼타페(개조) 2.5T-GDI AWD 6인 20인치(22MY),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,178,9.50 ,4등급,TRUE,,,
싼타페(개조) 2.5T-GDI AWD 6인 18인치(22MY),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,172,9.90 ,4등급,TRUE,,,
싼타페(개조) 2.5T-GDI 2WD 6인 20인치(22MY),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,167,10.10 ,4등급,TRUE,,,
싼타페(개조)2.5T-GDI 2WD 6인 18인치(빌트인캠)_22MY,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,162,10.40 ,4등급,TRUE,,,
싼타페(개조) 2.5T-GDI 2WD 6인 18인치(22MY),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,161,10.50 ,4등급,TRUE,,,
렉스턴스포츠칸 2.2디젤 4WD 6MT SCR Step2(17인치XL),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,180,10.80 ,4등급,TRUE,,,
렉스턴스포츠칸 2.2 디젤 4WD 6MT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,175,11.10 ,4등급,TRUE,,,
봉고 1톤 초장축 표준캡 AT(22),기아,화물차,일반형,내연기관,경유,2497,자동5,221,8.80 ,5등급,TRUE,,,
렉스턴스포츠칸 2.2 디젤 2WD 6AT SCR Step2(20인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,190,10.30 ,4등급,TRUE,,,
봉고 1톤 초장축 표준캡 MT(22),기아,화물차,일반형,내연기관,경유,2497,수동6,204,9.50 ,4등급,TRUE,,,
렉스턴스포츠칸 2.2 디젤 2WD 6AT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,186,10.50 ,4등급,TRUE,,,
렉스턴스포츠칸 2.2디젤 4WD 6AT SCR Step2(17인치XL),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,191,10.20 ,4등급,TRUE,,,
봉고 1톤 4X4장축 표준캡(22),기아,화물차,일반형,내연기관,경유,2497,수동6,218,9.00 ,5등급,TRUE,,,
렉스턴스포츠칸 2.2 디젤 4WD 6AT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,185,10.50 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 2WD 6MT SCR Step2(20인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,171,11.30 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 2WD 6MT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,167,11.60 ,3등급,TRUE,,,
렉스턴스포츠 2.2 디젤 4WD 6MT SCR Step2(20인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,178,10.90 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 4WD 6MT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,수동6,175,11.10 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 2WD 6AT SCR Step2(20인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,188,10.40 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 2WD 6AT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,184,10.60 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 4WD 6AT SCR Step2(20인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,187,10.40 ,4등급,TRUE,,,
렉스턴스포츠 2.2 디젤 4WD 6AT SCR Step2(17인치),케이지모빌리티,화물차,화물,내연기관,경유,2157,자동6,184,10.60 ,4등급,TRUE,,,
Model 3 RWD,테슬라코리아 유한회사,승용차,일반형,전기(MCT),전기,,없음,0,5.70 ,2등급,TRUE,,,
포터 2.5디젤 초장축 표준캡 MT(22),현대,화물차,일반형,내연기관,경유,2497,수동6,204,9.50 ,4등급,TRUE,,,
포터 2.5디젤 초장축 표준캡 AT(22),현대,화물차,일반형,내연기관,경유,2497,자동5,221,8.80 ,5등급,TRUE,,,
포터 2.5디젤 4X4장축 표준캡(22),현대,화물차,일반형,내연기관,경유,2497,수동6,217,9.00 ,5등급,TRUE,,,
카니발 2.2디젤 하이리무진 7인(19인치)(22),기아,승용차,기타형,내연기관,경유,2151,자동8,168,11.50 ,4등급,TRUE,,,
카니발 2.2디젤 하이리무진 9인(18인치/19인치)(22),기아,승용차,기타형,내연기관,경유,2151,자동8,160,12.00 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 6인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 18인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 6인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 6인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 18인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,14.00 ,2등급,TRUE,,,
싼타페 2.2디젤 2WD 6인 18인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,14.00 ,2등급,TRUE,,,
MINI Cooper SE,MINI,승용차,일반형,전기(MCT),전기,,없음,0,4.50 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 5인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,135,14.10 ,2등급,TRUE,,,
싼타페 2.2디젤 2WD 6인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,135,14.10 ,2등급,TRUE,,,
봉고 1톤 초장축 슈퍼캡 AT(22),기아,화물차,일반형,내연기관,경유,2497,자동5,221,8.80 ,5등급,TRUE,,,
봉고 1톤 초장축 더블캡 AT(22),기아,화물차,일반형,내연기관,경유,2497,자동5,224,8.70 ,5등급,TRUE,,,
봉고 1톤 초장축 슈퍼캡 MT(22),기아,화물차,일반형,내연기관,경유,2497,수동6,204,9.50 ,4등급,TRUE,,,
봉고 1톤 초장축 더블캡 MT(22),기아,화물차,일반형,내연기관,경유,2497,수동6,209,9.30 ,5등급,TRUE,,,
봉고 1톤 4X4장축 슈퍼캡(22),기아,화물차,일반형,내연기관,경유,2497,수동6,218,9.00 ,5등급,TRUE,,,
싼타페 2.2디젤 AWD 7인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 7인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
싼타페 2.2디젤 AWD 5인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,140,13.60 ,3등급,TRUE,,,
BMW i4 eDrive40,BMW,승용차,일반형,전기(MCT),전기,,없음,0,4.60 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 20인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 18인치(빌트인캠)(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,14.00 ,2등급,TRUE,,,
싼타페 2.2디젤 2WD 7인 18인치(22),현대,승용차,다목적형,내연기관,경유,2151,자동8,135,14.10 ,2등급,TRUE,,,
봉고 1톤 4X4장축 더블캡(22),기아,화물차,일반형,내연기관,경유,2497,수동6,227,8.60 ,5등급,TRUE,,,
카니발 2.2디젤 11인 18인치(빌트인캠)(22),기아,승합차,일반형,내연기관,경유,2151,자동8,157,12.30 ,3등급,TRUE,,,
카니발 2.2디젤 11인 18인치(22),기아,승합차,일반형,내연기관,경유,2151,자동8,155,12.40 ,3등급,TRUE,,,
카니발 2.2디젤 9인 18인치/19인치(빌트인캠)(22),기아,승용차,기타형,내연기관,경유,2151,자동8,149,12.90 ,3등급,TRUE,,,
카니발 2.2디젤 9인 18인치/19인치(22),기아,승용차,기타형,내연기관,경유,2151,자동8,147,13.00 ,3등급,TRUE,,,
카니발 2.2디젤 7인 19인치(빌트인캠)(22),기아,승용차,기타형,내연기관,경유,2151,자동8,155,12.40 ,3등급,TRUE,,,
카니발 2.2디젤 7인 19인치(22),기아,승용차,기타형,내연기관,경유,2151,자동8,154,12.50 ,3등급,TRUE,,,
포터 2.5디젤 초장축 슈퍼캡 MT(22),현대,화물차,일반형,내연기관,경유,2497,수동6,204,9.50 ,4등급,TRUE,,,
포터 2.5디젤 초장축 더블캡 MT(22),현대,화물차,일반형,내연기관,경유,2497,수동6,209,9.30 ,5등급,TRUE,,,
포터 2.5디젤 초장축 슈퍼캡 AT(22),현대,화물차,일반형,내연기관,경유,2497,자동5,221,8.80 ,5등급,TRUE,,,
포터 2.5디젤 초장축 더블캡 AT(22),현대,화물차,일반형,내연기관,경유,2497,자동5,224,8.70 ,5등급,TRUE,,,
포터 2.5디젤 4X4장축 슈퍼캡(22),현대,화물차,일반형,내연기관,경유,2497,수동6,217,9.00 ,5등급,TRUE,,,
포터 2.5디젤 4X4장축 더블캡(22),현대,화물차,일반형,내연기관,경유,2497,수동6,227,8.60 ,5등급,TRUE,,,
Mercedes-Benz GLE350 e 4MATIC Coupe,벤츠,승용차,다목적형,PHEV,전기+휘발유,1991,자동9,27,2.5 / 8.7,PHEV,,,,
비바,Liaoning Lingyuan Linghe,화물차,밴형,전기(MCT),전기,,없음,0,4.80 ,3등급,TRUE,,,
Mercedes-Benz G400 d,벤츠,승용차,다목적형,내연기관,경유,2925,자동9,241,8.20 ,5등급,TRUE,,,
BMW i4 M50,BMW,승용차,일반형,전기(MCT),전기,,없음,0,4.10 ,4등급,TRUE,,,
마세라티 콰트로포르테 모데나 Q4,마세라티,승용차,일반형,내연기관,휘발유,2979,자동8,259,6.50 ,5등급,TRUE,,,
마세라티 콰트로포르테 GT,마세라티,승용차,일반형,내연기관,휘발유,2979,자동8,226,7.40 ,5등급,TRUE,,,
마세라티 기블리 모데나 S Q4,마세라티,승용차,일반형,내연기관,휘발유,2979,자동8,252,6.70 ,5등급,TRUE,,,
마세라티 기블리 모데나,마세라티,승용차,일반형,내연기관,휘발유,2979,자동8,237,7.10 ,5등급,TRUE,,,
마세라티 르반떼 모데나 S,마세라티,승용차,다목적형,내연기관,휘발유,2979,자동8,241,7.00 ,5등급,TRUE,,,
마세라티 르반떼 모데나,마세라티,승용차,다목적형,내연기관,휘발유,2979,자동8,241,7.00 ,5등급,TRUE,,,
"Mercedes-Benz E300 e 4MATIC	",벤츠,승용차,일반형,PHEV,전기+휘발유,1991,자동9,39,2.9 / 10.2,PHEV,,,,
마칸 GTS,포르쉐,승용차,다목적형,내연기관,휘발유,2894,자동7,228,7.60 ,5등급,TRUE,,,
마칸 S,포르쉐,승용차,다목적형,내연기관,휘발유,2894,자동7,224,7.80 ,5등급,TRUE,,,
마칸,포르쉐,승용차,다목적형,내연기관,휘발유,1984,자동7,208,8.40 ,5등급,TRUE,,,
캐딜락 CT5-V Blackwing,GM,승용차,일반형,내연기관,휘발유,6162,자동10,281,6.10 ,5등급,TRUE,,,
S3 TFSI,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,163,10.40 ,4등급,TRUE,,,
Jetta,폭스바겐,승용차,일반형,내연기관,휘발유,1498,자동8,119,14.10 ,2등급,TRUE,,,
볼보 S90T8 AWD,볼보,승용차,일반형,PHEV,전기+휘발유,1969,자동8,63,2.9 / 11.2,PHEV,,,,
마세라티 기블리 GT,마세라티,승용차,일반형,하이브리드,휘발유,1995,자동8,186,8.90 ,5등급,TRUE,,,
Golf GTI,폭스바겐,승용차,일반형,내연기관,휘발유,1984,자동7,149,11.50 ,4등급,TRUE,,,
포터 일렉트릭 22MY,현대,화물차,일반형,전기(MCT),전기,,없음,0,3.10 ,5등급,TRUE,,,
쏘렌토 2.2디젤 4WD 5인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
쏘렌토 2.2디젤 4WD 5인 18인치타이어 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,145,13.10 ,3등급,TRUE,,,
쏘렌토 2.2디젤 4WD 6인 18인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,145,13.10 ,3등급,TRUE,,,
쏘렌토 2.2디젤 4WD 6인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
쏘렌토 2.2디젤 2WD 5인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
쏘렌토 2.2디젤 2WD 6인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
쏘렌토 2.2디젤 2WD 5인 18인치타이어 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,135,14.00 ,2등급,TRUE,,,
쏘렌토 2.2디젤 2WD 6인 18인치타이어 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,135,14.00 ,2등급,TRUE,,,
쏘렌토 2.2디젤 2WD 5인 18인치 타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,134,14.10 ,2등급,TRUE,,,
쏘렌토 2.2디젤 2WD 6인 18인치 타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,134,14.10 ,2등급,TRUE,,,
스타리아 어린이통학차 2.2디젤 4WD 11인 (17인치),현대,승합차,일반형,내연기관,경유,2199,자동8,209,9.30 ,5등급,TRUE,,,
쏘렌토 2.2디젤 2WD 7인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,139,13.70 ,3등급,TRUE,,,
쏘렌토 2.2디젤 4WD 7인 20인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,150,12.80 ,3등급,TRUE,,,
쏘렌토 2.2디젤 4WD 5인 18인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,140,13.60 ,3등급,TRUE,,,
쏘렌토 2.2디젤 2WD 7인 18인치타이어 (빌트인캠)(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,135,14.00 ,2등급,TRUE,,,
쏘렌토 2.2디젤 4WD 7인 18인치타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,145,13.10 ,3등급,TRUE,,,
쏘렌토 2.2디젤 2WD 7인 18인치 타이어(22),기아,승용차,다목적형,내연기관,경유,2151,자동8,134,14.10 ,2등급,TRUE,,,
Mercedes-Benz GLS400 d 4MATIC (MY22),벤츠,승용차,다목적형,내연기관,경유,2925,자동9,199,9.80 ,4등급,TRUE,,,
스타리아 어린이통학차 2.2디젤 4WD 11인 (18인치),현대,승합차,일반형,내연기관,경유,2199,자동8,209,9.30 ,5등급,TRUE,,,
Q2 35 TDI,아우디,승용차,다목적형,내연기관,경유,1968,자동7,111,16.70 ,1등급,TRUE,,,
GV60 4WD 무선충전,현대,승용차,다목적형,전기(MCT),전기,,없음,0,4.10 ,4등급,TRUE,,,
GV60 성능형 4WD 무선충전,현대,승용차,다목적형,전기(MCT),전기,,없음,0,3.90 ,4등급,TRUE,,,
Mercedes-Benz GLE300 d 4MATIC,벤츠,승용차,다목적형,하이브리드,경유,1993,자동9,161,11.90 ,3등급,TRUE,,,
BMW iX3 M Sport,BMW,승용차,일반형,전기(MCT),전기,,없음,0,4.10 ,4등급,TRUE,,,
볼보 S90B5,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,151,11.20 ,4등급,TRUE,,,
볼보 S60B5,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,149,11.30 ,4등급,TRUE,,,
티볼리 가솔린 1.6 AT 2WD 기준4 16인치 타이어,케이지모빌리티,승용차,기타형,내연기관,휘발유,1597,자동6,143,11.60 ,3등급,TRUE,,,
티볼리 가솔린 1.6 AT 2WD 기준4 18인치 타이어,케이지모빌리티,승용차,기타형,내연기관,휘발유,1597,자동6,146,11.40 ,4등급,TRUE,,,
볼보 XC60B6 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,189,9.10 ,5등급,TRUE,,,
볼보 V90CCB6 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,164,10.40 ,4등급,TRUE,,,
"Mercedes-Benz C200 4MATIC	",벤츠,승용차,일반형,하이브리드,휘발유,1999,자동9,149,11.30 ,4등급,TRUE,,,
e-tron S Sportback,아우디,승용차,다목적형,전기(MCT),전기,,없음,0,2.70 ,5등급,TRUE,,,
e-tron S,아우디,승용차,다목적형,전기(MCT),전기,,없음,0,2.70 ,5등급,TRUE,,,
볼보 S90B6 AWD,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,172,9.90 ,4등급,TRUE,,,
볼보 XC90B6 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,183,9.30 ,5등급,TRUE,,,
스타리아 라운지 리무진 2.2디젤 2WD 7인,현대,승용차,기타형,내연기관,경유,2199,자동8,196,10.00 ,4등급,TRUE,,,
스타리아 라운지 리무진 2.2디젤 4WD 7인,현대,승용차,기타형,내연기관,경유,2199,자동8,209,9.40 ,4등급,TRUE,,,
스타리아 어린이통학차 2.2디젤 2WD 11인,현대,승합차,일반형,내연기관,경유,2199,자동8,194,10.00 ,4등급,TRUE,,,
스타리아 어린이통학차 3.5LPI 11인,현대,승합차,일반형,내연기관,LPG,3470,자동8,210,6.30 ,5등급,TRUE,,,
마세라티 르반떼 GT,마세라티,승용차,다목적형,하이브리드,휘발유,1995,자동8,209,7.90 ,5등급,TRUE,,,
스타리아 어린이통학차 3.5LPI 15인,현대,승합차,일반형,내연기관,LPG,3470,자동8,210,6.30 ,5등급,TRUE,,,
스타리아 어린이통학차 2.2디젤 2WD 14인,현대,승합차,일반형,내연기관,경유,2199,자동8,194,10.00 ,4등급,TRUE,,,
스타리아 라운지 리무진 2.2디젤 2WD 9인,현대,승용차,기타형,내연기관,경유,2199,자동8,196,10.00 ,4등급,TRUE,,,
스타리아 라운지 리무진 2.2디젤 4WD 9인,현대,승용차,기타형,내연기관,경유,2199,자동8,209,9.40 ,4등급,TRUE,,,
"Mercedes-Benz C300	",벤츠,승용차,일반형,하이브리드,휘발유,1999,자동9,143,11.80 ,3등급,TRUE,,,
렉서스 ES300h,토요타,승용차,일반형,하이브리드,휘발유,2487,무단변속,92,16.80 ,1등급,TRUE,,,
카이엔 터보,포르쉐,승용차,다목적형,내연기관,휘발유,3996,자동8,270,6.50 ,5등급,TRUE,,,
카이엔 터보 COUPE,포르쉐,승용차,다목적형,내연기관,휘발유,3996,자동8,270,6.50 ,5등급,TRUE,,,
"Mercedes-AMG GT43 4MATIC + 	",벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,212,8.10 ,5등급,TRUE,,,
