모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
K5 PE 2.0LPI 18인치(빌트인캠),기아,승용차,일반형,내연기관,LPG,1999,자동6,138,9.50 ,4등급,TRUE,,AD모터스,0
K5 PE 2.0LPI 17인치(빌트인캠),기아,승용차,일반형,내연기관,LPG,1999,자동6,133,9.80 ,4등급,TRUE,,BMW,10.26091205
K5 PE 2.0LPI 16인치(빌트인캠),기아,승용차,일반형,내연기관,LPG,1999,자동6,134,9.70 ,4등급,TRUE,,Brilliance Shineray,4.4
K5 PE 2.0CVVL 18인치(빌트인캠 장착),기아,승용차,일반형,내연기관,휘발유,1999,자동6,137,12.20 ,3등급,TRUE,,BYD,2.6
K5 PE 2.0CVVL 17인치(빌트인캠 장착),기아,승용차,일반형,내연기관,휘발유,1999,자동6,135,12.30 ,3등급,TRUE,,DFSK,6.444444444
K5 PE 2.0CVVL 17인치(빌트인캠 미장착),기아,승용차,일반형,내연기관,휘발유,1999,자동6,132,12.60 ,3등급,TRUE,,DongfengLiuzhou Motor,3.3
K5 PE 1.6T-GDI 19인치(빌트인캠 장착),기아,승용차,일반형,내연기관,휘발유,1598,자동8,135,12.30 ,3등급,TRUE,,GM,8.654385965
K5 PE 1.6T-GDI 18인치(빌트인캠 장착),기아,승용차,일반형,내연기관,휘발유,1598,자동8,128,13.00 ,3등급,TRUE,,Liaoning Lingyuan Linghe,4.5
K5 PE 1.6T-GDI 17인치(빌트인캠 장착),기아,승용차,일반형,내연기관,휘발유,1598,자동8,123,13.50 ,3등급,TRUE,,MINI,12.38703704
K5 PE 1.6T-GDI 17인치(빌트인캠 미장착),기아,승용차,일반형,내연기관,휘발유,1598,자동8,121,13.70 ,3등급,TRUE,,PSA Automobiles,13.40793651
Mercedes-Benz S 580 e 4MATIC,벤츠,승용차,일반형,PHEV,전기+휘발유,2999,자동9,27,2.6 / 9.1,PHEV,,,Supaq Motor Limited,6.4
Mercedes-Benz GLE 400 e 4MATIC Coupe,벤츠,승용차,다목적형,PHEV,전기+휘발유,1999,자동9,31,2.2 / 8.6,PHEV,,,기아,11.57772358
BMW XM Label,BMW,승용차,다목적형,PHEV,전기+휘발유,4395,자동8,48,2 / 7.1,PHEV,,,닛산,8.652941176
Mustang GT 5.0L Coupe,포드,승용차,일반형,내연기관,휘발유,5038,자동10,238,7.20 ,5등급,TRUE,,람보르기니,6.25
Mustang 2.3L Coupe,포드,승용차,일반형,내연기관,휘발유,2261,자동10,175,9.60 ,4등급,TRUE,,랜드로버,8.497297297
볼보 XC40B4 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,162,10.60 ,4등급,TRUE,,롤스로이스,5.55
볼보 V90CCB5 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,155,11.00 ,4등급,TRUE,,르노코리아자동차(주),11.13714286
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,174,11.20 ,4등급,TRUE,,마세라티,7.291666667
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 장착",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,223,7.70 ,5등급,TRUE,,마스타전기차(주),6.1
"GV80 개조 3.5T AWD 20"" 6/7인",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,223,7.70 ,5등급,TRUE,,벤츠,8.858006042
Mercedes-AMG EQE 53 4MATIC +(Race Start +),벤츠,승용차,일반형,전기(MCT),전기,,없음,0,3.60 ,4등급,TRUE,,벤틀리,7.146666667
Mercedes-AMG EQE 53 4MATIC + SUV ,벤츠,승용차,다목적형,전기(MCT),전기,,없음,0,3.50 ,4등급,TRUE,,볼보,1689.092593
GV80 개조 3.5T AWD 쿠페,현대,승용차,다목적형,내연기관,휘발유,3470,자동8,220,7.80 ,5등급,TRUE,,쎄미시스코,5.4
"GV80 개조 3.5T AWD 22""",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,223,7.70 ,5등급,TRUE,,아우디,9.521666667
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 미장착",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,217,7.90 ,5등급,TRUE,,장조우 닛산,3
"GV80 개조 3.5T 2WD 22""",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,209,8.20 ,5등급,TRUE,,재규어,9.5
"GV80 개조 3.5T 2WD 20"" 6/7인",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,208,8.20 ,5등급,TRUE,,제인모터스,2.3
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 장착",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,203,8.40 ,5등급,TRUE,,주식회사 쎄보모빌리티,6.3
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 미장착",현대,승용차,다목적형,내연기관,휘발유,3470,자동8,199,8.60 ,5등급,TRUE,,주식회사 한국쓰리축,2.8
GV80 개조 2.5T AWD 쿠페,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,209,8.20 ,5등급,TRUE,,지리쓰촨상용차 유한회사,3.8
"GV80 개조 2.5T 2WD 19"" 빌트인캠 장착",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,187,9.10 ,5등급,TRUE,,체리자동차,6.3
"GV80 개조 2.5T 2WD 19"" 빌트인캠 미장착",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,183,9.30 ,5등급,TRUE,,케이지모빌리티,11.28791209
"GV80 개조 2.5T 2WD 20""/22""",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,192,8.90 ,5등급,TRUE,,코리아에어카고,4.4
"GV80 개조 2.5T AWD 20""/22""",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,206,8.30 ,5등급,TRUE,,크라이슬러,9.101851852
"GV80 개조 2.5T AWD 19"" 6/7인",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,201,8.50 ,5등급,TRUE,,테슬라코리아 유한회사,4.453333333
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 장착",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,197,8.70 ,5등급,TRUE,,토요타,13.92195122
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 미장착",현대,승용차,다목적형,내연기관,휘발유,2497,자동8,192,8.90 ,5등급,TRUE,,투데이션샤인,5.5
Mercedes-Benz EQE 350 +,벤츠,승용차,일반형,전기(MCT),전기,,없음,0,4.60 ,3등급,TRUE,,파워테크닉스,1.6
"Mercedes-AMG SL 63 4MATIC + 	",벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,271,6.50 ,5등급,TRUE,,페라리,6.2125
Rolls Royce Spectre,롤스로이스,승용차,일반형,전기(MCT),전기,,없음,0,3.20 ,5등급,TRUE,,포드,8.352777778
Rolls Royce Black Badge Spectre,롤스로이스,승용차,일반형,전기(MCT),전기,,없음,0,3.20 ,5등급,TRUE,,포르쉐,6.455696203
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,174,11.20 ,4등급,TRUE,,포톤,9
싼타페 HEV 1.6T-GDI 4WD 5인 20인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,126,13.00 ,3등급,TRUE,,폭스바겐,12.94074074
싼타페 HEV 1.6T-GDI 4WD 6인 20인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,126,13.00 ,3등급,TRUE,,폴스타,4.5
싼타페 HEV 1.6T-GDI 4WD 6인 18인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,120,13.60 ,3등급,TRUE,,한국지엠,11.92439024
싼타페 HEV 1.6T-GDI 2WD 5인 18인치 (빌트인캠X),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,104,15.50 ,2등급,TRUE,,현대,10.86866405
싼타페 HEV 1.6T-GDI 2WD 6인 18인치 (빌트인캠X),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,104,15.50 ,2등급,TRUE,,혼다,12.48965517
싼타페 HEV 1.6T-GDI 2WD 5인 18인치 (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,(비어 있음),
싼타페 HEV 1.6T-GDI 2WD 6인 18인치 (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,총합계,24.13517557
볼보 V60CCB5 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,166,10.40 ,4등급,TRUE,,,
볼보 S60B5,볼보,승용차,일반형,하이브리드,휘발유,1969,자동8,144,11.80 ,3등급,TRUE,,,
싼타페 HEV 1.6T-GDI 4WD 7인 20인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,126,13.00 ,3등급,TRUE,,,
싼타페 HEV 1.6T-GDI 4WD 5인 18인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,117,14.00 ,2등급,TRUE,,,
싼타페 HEV 1.6T-GDI 4WD 7인 18인치,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,120,13.60 ,3등급,TRUE,,,
싼타페 HEV 1.6T-GDI 2WD 7인 18인치 (빌트인캠X),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,104,15.50 ,2등급,TRUE,,,
싼타페 HEV 1.6T-GDI 2WD 7인 18인치 (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15.00 ,2등급,TRUE,,,
BMW X1 xDrive20i,BMW,승용차,다목적형,내연기관,휘발유,1998,자동7,158,10.70 ,4등급,TRUE,,,
BMW X1 M35i xDrive,BMW,승용차,다목적형,내연기관,휘발유,1998,자동7,166,10.20 ,4등급,TRUE,,,
볼보 XC40 Recharge Twin,볼보,승용차,다목적형,전기(MCT),전기,,없음,0,4.40 ,3등급,TRUE,,,
Peugeot 508 1.5 BlueHDi,PSA Automobiles,승용차,일반형,내연기관,경유,1499,자동8,120,15.60 ,2등급,TRUE,,,
BMW X6 xDrive40d ,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,167,11.60 ,3등급,TRUE,,,
BMW i7 M70 xDrive,BMW,승용차,일반형,전기(MCT),전기,,없음,0,3.30 ,5등급,TRUE,,,
볼보 XC60B6 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,184,9.40 ,4등급,TRUE,,,
볼보 XC60B5 AWD,볼보,승용차,다목적형,하이브리드,휘발유,1969,자동8,171,10.10 ,4등급,TRUE,,,
토레스 EVX 2WD 18인치타이어,케이지모빌리티,승용차,기타형,전기(MCT),전기,,없음,0,5.00 ,2등급,TRUE,,,
Mercedes-Benz EQE 350 4MATIC,벤츠,승용차,일반형,전기(MCT),전기,,없음,0,4.00 ,4등급,TRUE,,,
Mercedes-AMG EQS 53 4MATIC +,벤츠,승용차,일반형,전기(MCT),전기,,없음,0,3.20 ,5등급,TRUE,,,
BMW 530i xDrive,BMW,승용차,일반형,하이브리드,휘발유,1998,자동8,151,11.10 ,4등급,TRUE,,,
Mercedes-AMG CLA 45 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,188,9.20 ,5등급,TRUE,,,
Mercedes-AMG A 45 S 4MATIC +,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,195,8.90 ,5등급,TRUE,,,
G80 Electrified 24MY,현대,승용차,일반형,전기(MCT),전기,,없음,0,4.30 ,3등급,TRUE,,,
Mercedes-Maybach S 680 (5 seater),벤츠,승용차,일반형,내연기관,휘발유,5980,자동9,295,6.00 ,5등급,TRUE,,,
BMW 520i,BMW,승용차,일반형,하이브리드,휘발유,1998,자동8,137,12.10 ,3등급,TRUE,,,
BMW 740i xDrive,BMW,승용차,일반형,하이브리드,휘발유,2998,자동8,164,10.30 ,4등급,TRUE,,,
BMW i5 M60 xDrive,BMW,승용차,일반형,전기(MCT),전기,,없음,0,3.80 ,4등급,TRUE,,,
